word,mean_ALL,sd_ALL,n_ALL,mean_M,sd_M,n_M,mean_F,sd_F,n_F
hunger,1.923076923,0.934797387,26,2.181818182,0.981649817,11,1.733333333,0.883715102,15
hunt,1.909090909,1.12815215,33,2.166666667,1.337115847,12,1.761904762,0.995226703,21
hunting,1.90625,1.088336256,32,2.111111111,1.536590743,9,1.826086957,0.886882892,23
huntress,2.243243243,1.140307108,37,2,1.069044968,15,2.409090909,1.181568405,22
hurdle,2.441176471,1.21083934,34,2.368421053,1.116070802,19,2.533333333,1.35576371,15
hurl,2.966666667,1.188546877,30,2.769230769,1.012739367,13,3.117647059,1.317305628,17
hurry,2.210526316,1.142730129,38,2.368421053,1.116070802,19,2.052631579,1.17727011,19
hurt,1.511111111,0.815258526,45,1.733333333,1.032795559,15,1.4,0.674664668,30
husband,2.038461538,1.24838357,26,2.333333333,1.414213562,9,1.882352941,1.166316474,17
husk,2.242424242,1.173411241,33,2.35,1.268027893,20,2,1.044465936,12
husky,3.212121212,1.111237367,33,3,1.240347346,14,3.368421053,1.011628298,19
hussy,3.710526316,1.160333008,38,3.75,0.910465468,20,3.588235294,1.416810835,17
hustle,2.725,1.240088913,40,2.5625,1.364734406,16,2.833333333,1.16718415,24
hut,2.270833333,1.143707732,48,2.130434783,1.140348744,23,2.4,1.154700538,25
hydrate,2.413793103,1.118584609,29,2.307692308,1.436698495,13,2.5,0.816496581,16
hygiene,2.055555556,1.193899839,36,1.684210526,1.002919714,19,2.470588235,1.280510009,17
hymen,3.222222222,1.396139803,36,3.166666667,1.294785924,18,3.277777778,1.526455161,18
hymn,2.208333333,1.318073913,24,2.3,1.702938637,10,2.142857143,1.027105182,14
ice,2.545454545,1.002836885,33,2.727272727,0.786245393,11,2.454545455,1.100963765,22
iceberg,2.172413793,1.071346466,29,2.5,0.849836586,10,2,1.154700538,19
icing,2.526315789,1.156341905,38,2.764705882,1.147247345,17,2.333333333,1.154700538,21
icon,2,1.2344268,22,2,1.511857892,8,1.846153846,0.987096234,13
id,2.277777778,1.344004913,36,1.866666667,1.125462868,15,2.571428571,1.434274331,21
idea,2.024390244,0.961452154,41,2.0625,1.062622542,16,2,0.912870929,25
idiot,3.184210526,1.227065565,38,3.285714286,1.325987088,14,3.125,1.19099885,24
idol,2.2,0.994100243,35,1.928571429,0.997248963,14,2.35,0.988086934,20
illness,1.870967742,1.175923339,31,2.125,1.360147051,16,1.642857143,0.928782732,14
image,2.210526316,1.043846699,38,2.285714286,1.204387583,14,2.166666667,0.963086825,24
impact,2,0.901387819,33,2.214285714,0.892582375,14,1.842105263,0.898341552,19
impress,2.266666667,1.142692927,30,2.461538462,1.198289379,13,2.117647059,1.11143786,17
imprint,2.027777778,1.18288053,36,2.117647059,1.268973647,17,1.947368421,1.129094239,19
impulse,2.096774194,1.19317053,31,2.153846154,1.214231845,13,2.055555556,1.211329956,18
incense,2.36,1.083456299,50,2.352941176,1.05718828,17,2.363636364,1.112940413,33
incest,1.613636364,1.082974137,44,2.058823529,1.197423705,17,1.333333333,0.919866211,27
inch,2,1.231763524,30,1.846153846,1.344504484,13,2.117647059,1.166316474,17
increase,2.333333333,1.464557113,24,2.333333333,1.5,9,2.333333333,1.496026483,15
infant,2.266666667,1.156011953,45,2.333333333,1.370688834,12,2.242424242,1.090593389,33
infield,1.675675676,0.914514263,37,1.166666667,0.389249472,12,1.92,0.996661093,25
influence,1.914285714,0.981338479,35,1.733333333,0.961150105,15,2.05,0.998683344,20
info,2.166666667,1.129319405,24,2,1.414213562,9,2.266666667,0.961150105,15
ink,2.212121212,1.139012065,33,1.944444444,1.161754364,18,2.533333333,1.060098827,15
inkling,2.730769231,1.115623317,26,2.714285714,1.204387583,14,2.75,1.055289706,12
inlet,2.392857143,1.227441957,28,2.461538462,1.330124344,13,2.333333333,1.175139303,15
inmate,2.034482759,1.117483097,29,2.307692308,1.250640861,13,1.8125,0.981070844,16
inn,2.125,0.965759964,40,2.111111111,0.963381843,18,2.136363636,0.990211836,22
inning,2.119047619,1.253334692,42,2.047619048,1.359271514,21,2.19047619,1.167006753,21
input,2.21875,1.156590512,32,2.384615385,1.386750491,13,2.105263158,0.994134847,19
inquest,2.307692308,1.086985953,26,2.25,1,16,2.4,1.264911064,10
insect,2.233333333,1.104327954,30,2,1.154700538,13,2.411764706,1.064120736,17
insight,2.125,0.975506485,32,2,1.044465936,12,2.2,0.951453182,20
instant,2.157894737,1.127693551,38,2.642857143,1.277445941,14,1.875,0.946963109,24
insult,1.916666667,1.212853863,24,2.625,1.407885953,8,1.5625,0.963932916,16
intake,2.222222222,1.098339295,36,2.3,1.418136492,10,2.192307692,0.980580676,26
intent,2.121212121,1.053493467,33,2.083333333,0.99620492,12,2.2,1.105012503,20
interest,2.157894737,1.344253527,19,2,1.414213562,5,2.214285714,1.368804724,14
intern,1.965517241,1.117483097,29,1.8,1.135292424,10,2.052631579,1.129094239,19
intrigue,2.382352941,0.888127273,34,2.333333333,0.899735411,15,2.421052632,0.901590537,19
intro,2.129032258,1.14722667,31,2.2,1.373213125,15,2.0625,0.928708781,16
invite,2.166666667,1.14721051,30,2,0.912870929,13,2.294117647,1.311711948,17
invoice,1.967741935,1.048296109,31,2,1.137592918,18,1.923076923,0.954073587,13
ion,2.407407407,1.152230588,27,2.153846154,1.28102523,13,2.642857143,1.008208072,14
iron,2.148148148,1.166971877,27,2.363636364,1.361816968,11,2,1.032795559,16
island,2.24137931,1.243703353,29,2.083333333,1.240112409,12,2.352941176,1.271867548,17
issue,2.236842105,1.076385607,38,2.375,1.204159458,16,2.095238095,0.995226703,21
item,2.3125,0.997981834,32,2,1.195228609,15,2.588235294,0.71228712,17
jab,2.314285714,1.078436465,35,2.222222222,1.201850425,9,2.346153846,1.056117709,26
jabber,3.64516129,1.198565451,31,3.642857143,1.215739272,14,3.647058824,1.221739358,17
jackal,2.774193548,1.334408169,31,2.625,1.204159458,16,2.933333333,1.486446706,15
jackass,3.777777778,1.14918881,36,4.142857143,0.864437822,14,3.545454545,1.262170192,22
jacket,2.193548387,1.222548018,31,2.333333333,1.497472618,12,2.105263158,1.048530021,19
jackpot,2.882352941,1.343101474,34,2.9375,1.388944443,16,2.833333333,1.339446769,18
jade,1.96,1.171893055,25,2,1.183215957,11,1.928571429,1.206666464,14
jailbird,3.153846154,1.386750491,39,3.461538462,1.450022104,13,3,1.356465997,26
jailer,2.117647059,0.913358965,34,2.2,0.941123948,15,2.052631579,0.911267994,19
jam,2.696969697,1.103541132,33,2.75,1,16,2.647058824,1.221739358,17
jar,2.03125,1.062084833,32,2.083333333,1.083624669,12,2,1.076055174,20
jargon,2.6875,0.931093703,32,2.466666667,0.990430402,15,2.875,0.885061203,16
jasmine,1.833333333,0.985527457,30,2,1.12815215,12,1.722222222,0.894792487,18
java,2.296296296,1.436202654,27,1.692307692,1.250640861,13,2.857142857,1.406421693,14
javelin,2.230769231,1.21021295,26,2.222222222,0.971825316,9,2.235294118,1.347655917,17
jaw,2.205882353,1.273968074,34,2.2,1.549193338,10,2.208333333,1.178767472,24
jawbone,2.542857143,1.291211404,35,2.928571429,1.328057327,14,2.285714286,1.23056317,21
jaws,2.387096774,1.430091357,31,2.615384615,1.709700829,13,2.222222222,1.215369978,18
jean,1.875,1.153915828,24,2.083333333,1.311372171,12,1.666666667,0.984731928,12
jeans,2.24137931,1.405478373,29,2.055555556,1.349170648,18,2.545454545,1.507556723,11
jeep,2.69047619,1.315722842,42,2.428571429,1.39897922,21,2.952380952,1.203170415,21
jelly,3.125,1.099853363,32,3.416666667,1.164500153,12,2.947368421,1.078769062,19
jerk,2.857142857,1.325373063,28,2.7,1.418136492,10,2.944444444,1.304842664,18
jest,3.071428571,1.513606716,28,3.090909091,1.513574937,11,3.058823529,1.560071642,17
jester,3.269230769,1.218447941,26,2.733333333,1.222799287,15,4,0.774596669,11
jet,2.068965517,1.066738503,29,2,1.154700538,13,2.125,1.024695077,16
jewel,2.342857143,1.136114564,35,2.375,0.885061203,16,2.315789474,1.335524515,19
jib,3.24,1.164760347,25,3.625,1.060660172,8,3.058823529,1.197423705,17
jiffy,3.161290323,1.267458722,31,3,1.505545305,16,3.333333333,0.975900073,15
jiggle,3.64516129,1.050345565,31,3.928571429,1.071611706,14,3.411764706,1.003669737,17
jigsaw,2.911764706,1.334112963,34,3.066666667,1.222799287,15,2.789473684,1.43677677,19
jihad,1.88372093,1.276328483,43,2.142857143,1.292412345,14,1.75862069,1.272095358,29
jingle,3.2,1.231928187,35,3.230769231,1.3634421,13,3.181818182,1.180652105,22
jinx,3.088235294,1.264135758,34,2.5625,0.963932916,16,3.555555556,1.338226316,18
jive,2.9,1.322223832,30,2.833333333,1.267304465,12,2.944444444,1.392087819,18
job,1.888888889,1.063089239,36,2,1.154700538,16,1.8,1.00524938,20
jockey,3.102564103,1.252258419,39,3.125,1.258305739,16,3.086956522,1.276110692,23
jog,2.371428571,1.086974059,35,2.071428571,0.997248963,14,2.571428571,1.121223821,21
jogger,2.48,0.962635272,25,2.363636364,1.206045378,11,2.571428571,0.755928946,14
joint,2.84,1.34412301,25,2.555555556,1.509230856,9,3,1.264911064,16
joke,3.638888889,1.245627272,36,3.625,1.204159458,16,3.65,1.308876577,20
jolt,2.65,1.21000106,40,2.789473684,1.272746259,19,2.523809524,1.167006753,21
jot,2.878787879,1.268798047,33,3,1.354006401,13,2.8,1.23969436,20
journal,1.861111111,0.93052298,36,1.533333333,0.833809388,15,2.095238095,0.94365046,21
joust,2.848484848,1.175829817,33,2.789473684,1.08417646,19,2.928571429,1.328057327,14
joyride,2.780487805,1.235155762,41,2.764705882,1.251469724,17,2.869565217,1.217461884,23
judge,2.071428571,0.939998874,28,2.181818182,0.981649817,11,2,0.935414347,17
judo,2.925,1.185110619,40,2.714285714,1.23056317,21,3.157894737,1.118687619,19
jug,3.096774194,1.374890025,31,3.3125,1.352466882,16,2.866666667,1.407463101,15
juggler,3.4,1.101722789,30,3.588235294,1.003669737,17,3.153846154,1.214231845,13
juice,2.833333333,1.383577144,36,3.083333333,1.505042031,12,2.652173913,1.335143699,23
juju,3.65625,1.334634782,32,2.857142857,1.561909229,14,4.277777778,0.669113158,18
jukebox,2.166666667,1.274044115,24,1.888888889,1.364225462,9,2.333333333,1.2344268,15
jump,2.32,1.215181742,25,2,1.118033989,9,2.5,1.264911064,16
jumper,2.357142857,1.253566341,28,1.933333333,0.798808637,15,2.846153846,1.519109051,13
junction,2.36,1.220655562,25,2,1.183215957,11,2.642857143,1.215739272,14
juncture,2.565217391,1.160959124,23,2,1.264911064,6,2.764705882,1.091410313,17
jungle,2.450980392,1.136903259,51,2.318181818,1.086118631,22,2.551724138,1.182799551,29
junior,2.25,1.164157703,20,2,1.069044968,8,2.416666667,1.240112409,12
junk,2.333333333,1.270977819,27,2.5,1.243163121,12,2.2,1.320173149,15
junket,2.594594595,1.212423181,37,2.388888889,1.243282604,18,2.789473684,1.182227059,19
junkie,2.477272727,1.171138114,44,2.75,1.069923755,20,2.25,1.224744871,24
juror,1.962962963,1.255188661,27,2.142857143,1.511857892,14,1.769230769,0.926808696,13
jury,1.972222222,0.877858144,36,1.785714286,0.974961256,14,2.090909091,0.811177328,22
justice,1.925925926,1.106829357,27,2.142857143,1.463850109,7,1.894736842,0.994134847,19
kappa,3.193548387,1.275914178,31,3.538461538,1.198289379,13,2.944444444,1.304842664,18
karma,2.84375,1.247174225,32,3.133333333,1.060098827,15,2.4375,1.263262971,16
kayak,3.026315789,1.404372364,38,2.928571429,1.491735474,14,3.083333333,1.380506103,24
kebab,3.214285714,1.257780021,28,3.058823529,1.248528546,17,3.454545455,1.293339581,11
keel,2.64516129,1.2529535,31,2.444444444,1.293523334,18,2.923076923,1.187542172,13
keen,2.625,1.274754878,40,2.181818182,1.328019715,11,2.793103448,1.235756285,29
keep,2.147058824,0.98879642,34,1.705882353,0.919558718,17,2.588235294,0.870260272,17
keeper,2.047619048,0.973457265,21,1.923076923,1.037749043,13,2.25,0.88640526,8
keepsake,2.05,1.190974833,20,2,1.414213562,9,2.090909091,1.044465936,11
kelp,2.5,1.022474716,34,2.428571429,1.016349858,14,2.55,1.050062655,20
kennel,2.5,1.215837518,24,2.454545455,1.293339581,11,2.538461538,1.198289379,13
kerchief,3.058823529,1.27781007,34,3.176470588,1.380004263,17,2.941176471,1.197423705,17
kernel,2.351351351,1.15989023,37,2.181818182,1.07871978,11,2.48,1.194431524,25
ketchup,2.476190476,1.31108027,42,2.35,1.386969434,20,2.590909091,1.259595207,22
kettle,2.264705882,1.188552048,34,2.461538462,1.198289379,13,2.142857143,1.195228609,21
key,2.052631579,0.928450276,38,2.05,0.944513241,20,2.055555556,0.937595311,18
keyboard,2.096774194,0.943569065,31,1.833333333,0.937436867,12,2.263157895,0.933458638,19
keyhole,2.45,1.13114419,40,2.25,1.055289706,12,2.535714286,1.170063083,28
keynote,2.384615385,1.202561369,26,2.428571429,1.511857892,7,2.368421053,1.116070802,19
kick,1.944444444,1.145037602,36,1.6875,0.946484724,16,2.210526316,1.272746259,19
kickoff,2.631578947,1.211542924,19,2.5,1.378404875,6,2.692307692,1.182131929,13
kid,2.78125,1.211087887,32,2.571428571,1.398586414,14,2.944444444,1.055641551,18
kidder,3.133333333,1.224275531,30,3.8,0.918936583,10,2.8,1.23969436,20
kidney,2.19047619,1.077916862,21,1.888888889,0.927960727,9,2.416666667,1.164500153,12
kids,2.066666667,1.172481404,30,2,1.054092553,10,2.1,1.252366182,20
kill,1.428571429,0.814779446,35,1.578947368,1.017392608,19,1.25,0.447213595,16
killer,1.466666667,0.819307249,30,1.571428571,0.937614462,14,1.4,0.736788398,15
killjoy,2.428571429,1.502379066,21,2,1.414213562,10,2.818181818,1.53741223,11
kilo,2.41025641,1.207824245,39,2.6,1.242118007,15,2.291666667,1.197067673,24
kin,2.7,1.118804781,30,2.875,1.457737974,8,2.636363636,1.002162165,22
kind,2.56,1.445683229,25,2.75,1.752549164,8,2.470588235,1.328422328,17
kindness,2.090909091,1.259058089,33,2.125,1.454876856,16,2.058823529,1.088036548,17
kindred,1.88,1.201388086,25,2.461538462,1.330124344,13,1.25,0.621581561,12
king,2,1.035098339,29,1.875,1.024695077,16,2.153846154,1.068188018,13
kingdom,2.21875,1.288519405,32,2.5,1.167748416,12,2.05,1.35627198,20
kingpin,3.166666667,1.341212353,30,3.166666667,1.337115847,12,3.166666667,1.382665797,18
kink,3.5,1.196258535,30,3,1.290994449,13,3.882352941,0.992619825,17
kinship,2.290322581,1.070624378,31,1.8,1.032795559,10,2.523809524,1.030487633,21
kiosk,2.65625,1.38212961,32,2,1.247219129,10,2.954545455,1.361975901,22
kiss,2.666666667,1.45405836,36,2.764705882,1.521898969,17,2.578947368,1.426565007,19
kisser,3.307692308,1.349643828,26,3.5,1.58113883,10,3.1875,1.223042654,16
kit,2.666666667,1.414213562,18,2.727272727,1.489356176,11,2.571428571,1.397276262,7
kitchen,2.15625,1.080900909,32,2.1,1.197219,10,2.181818182,1.052722712,22
kite,2.638888889,1.268357268,36,2.666666667,1.435481125,12,2.625,1.209113941,24
kiwi,3.2,1.389032672,35,3.266666667,1.486446706,15,3.15,1.348488433,20
knapsack,2.951219512,1.244010038,41,3.176470588,1.286239389,17,2.791666667,1.215092291,24
knee,2.057142857,1.055597326,35,1.785714286,1.050902281,14,2.238095238,1.04425868,21
kneecap,2.6,1.354006401,25,2.6,1.577621275,10,2.6,1.242118007,15
knickers,3.566666667,1.250746903,30,3.571428571,1.222499691,14,3.733333333,1.162919151,15
knife,1.84375,1.050633449,32,2,1.12815215,12,1.75,1.019545823,20
knighthood,2.421052632,1.199810322,38,2.545454545,1.368476259,11,2.384615385,1.168825841,26
knob,2.515151515,1.394659728,33,2.25,1.544785952,12,2.75,1.29269201,20
knock,2.648648649,1.183596596,37,2.588235294,1.227743027,17,2.7,1.174285897,20
knockout,2.76,1.3,25,2.555555556,1.424000624,9,2.875,1.258305739,16
knot,2.216216216,1.108931797,37,2,1.133893419,15,2.363636364,1.09307145,22
know,1.892857143,0.916486274,28,1.75,0.866025404,12,1.933333333,0.961150105,15
knowledge,2.4,0.981887246,40,2.136363636,0.990211836,22,2.722222222,0.894792487,18
kudos,3.392857143,1.13330999,28,3.6,1.121223821,15,3.153846154,1.14354375,13
lab,1.928571429,1.068229836,42,1.666666667,0.816496581,15,2.074074074,1.174273128,27
lace,2.452380952,1.213790293,42,2.476190476,1.167006753,21,2.35,1.268027893,20
lack,1.92,0.953939201,25,1.833333333,1.114640858,12,2,0.816496581,13
lackey,3.11627907,1.257535426,43,2.863636364,1.12527053,22,3.380952381,1.359271514,21
lacquer,2.55,1.299901377,40,2.875,1.360147051,16,2.304347826,1.258959982,23
lacrosse,2,0.953462589,34,2.117647059,1.053704948,17,1.9375,0.853912564,16
lactose,2.724137931,1.306482511,29,3.285714286,1.204387583,14,2.2,1.207121724,15
lad,2.666666667,1.20894105,27,2.75,1.341640786,16,2.545454545,1.035725481,11
ladder,2.3,1.055363967,30,2.444444444,1.333333333,9,2.238095238,0.94365046,21
laddie,3,1.264911064,31,3.8,0.632455532,10,2.619047619,1.321975434,21
lady,2.553191489,1.230208725,47,2.333333333,1.278019301,21,2.730769231,1.185164708,26
lag,2.176470588,1.217811953,34,2.8,1.264911064,15,1.684210526,0.945905303,19
lager,2.4,1.328727678,30,2.357142857,1.446860945,14,2.4375,1.263262971,16
lagoon,2.4,1.190238071,25,2.090909091,1.044465936,11,2.642857143,1.277445941,14
lair,2.024390244,1.193478213,41,2.2,1.320173149,15,1.923076923,1.128647932,26
lake,2.263157895,0.949657421,38,2.176470588,1.074435556,17,2.333333333,0.856348839,21
lamb,2.2,1.051609411,35,2.166666667,1.267304465,12,2.217391304,0.951387587,23
lament,1.771428571,0.972737625,35,1.692307692,1.031553471,13,1.818181818,0.957992128,22
lamp,2.25,1.171236471,40,1.833333333,1.267304465,12,2.428571429,1.103146054,28
lance,2.258064516,1.12450706,31,2.166666667,1.193416283,12,2.315789474,1.108183277,19
lancer,2.35483871,1.226061094,31,2.466666667,1.35576371,15,2.25,1.125462868,16
land,2.225,1.120611097,40,2.333333333,1.064581295,21,2.105263158,1.196974744,19
landing,2.151515152,1.064225426,33,2.176470588,1.074435556,17,2.125,1.087811258,16
landlord,2.071428571,0.978607152,28,2.285714286,1.112697281,7,1.95,0.944513241,20
landmark,2.28,1.208304597,25,2.153846154,1.344504484,13,2.416666667,1.083624669,12
landscape,2.407407407,1.009922284,27,2.555555556,1.130388331,9,2.333333333,0.9701425,18
landslide,1.8,1.158091737,35,1.75,1.055289706,12,1.863636364,1.245772071,22
lane,2.193548387,1.108132207,31,2.333333333,1.23091491,12,2.105263158,1.048530021,19
lantern,1.974358974,1.038399058,39,1.75,0.866025404,12,2.074074074,1.106829357,27
lap,2.709677419,1.243477607,31,2.9,1.370320319,10,2.619047619,1.203170415,21
lapdog,3.1875,1.401324258,32,3,1.477097892,12,3.3,1.380312703,20
lapel,2.475,1.154422933,40,2.619047619,1.244033379,21,2.315789474,1.056862841,19
lapse,2.368421053,1.195058579,38,2.142857143,1.460091823,14,2.5,1.021507837,24
large,1.967741935,1.139703791,31,1.888888889,1.166666667,9,2,1.154700538,22
lark,3.025641026,1.20278579,39,3.166666667,1.098126747,18,3,1.256561725,20
laser,2.321428571,1.248808956,28,2.466666667,1.187233679,15,2.153846154,1.344504484,13
lash,2.352941176,1.09772086,34,2.285714286,1.138728807,14,2.4,1.095445115,20
lass,2.3125,1.176037634,32,2.1,1.286683938,10,2.409090909,1.140555041,22
lasso,2.620689655,1.473911053,29,3.230769231,1.48064435,13,2.125,1.310216267,16
latex,2.96969697,1.286585804,33,3.153846154,0.987096234,13,2.85,1.460893742,20
lather,3.138888889,1.018480038,36,3.333333333,1.154700538,12,3.041666667,0.954584666,24
latrine,2.866666667,1.382983615,30,3.090909091,1.445997611,11,2.736842105,1.367971136,19
laughter,3.214285714,1.286889528,28,2.545454545,0.934198733,11,3.647058824,1.32009358,17
launch,2.294117647,1.11544017,34,1.909090909,1.136181804,11,2.47826087,1.081647112,23
laundry,2.2,1.244474969,40,1.9,1.209610638,20,2.5,1.235441536,20
lava,2.555555556,1.181873681,36,3.083333333,0.99620492,12,2.291666667,1.197067673,24
law,1.733333333,0.868344971,30,2,1.118033989,9,1.619047619,0.74001287,21
lawn,2.193548387,1.222548018,31,2.6,1.298350602,15,1.8125,1.046820583,16
lawyer,2.193548387,1.166743469,31,2.461538462,1.391365314,13,2,0.9701425,18
lay,2.55,1.084860856,40,2.866666667,1.125462868,15,2.36,1.036018018,25
layer,3.05,1.099042646,20,3.4,1.173787791,10,2.7,0.948683298,10
layman,2.970588235,1.114240987,34,3.307692308,1.182131929,13,2.761904762,1.04425868,21
lead,2.3,1.263547278,30,2.545454545,1.12815215,11,2.157894737,1.344253527,19
leader,2.413793103,1.086187348,29,2.25,1.035098339,8,2.476190476,1.123345344,21
leaf,2.290322581,1.243477607,31,2.15,1.268027893,20,2.545454545,1.213559752,11
league,2.192307692,1.132050556,26,2,1.095445115,11,2.333333333,1.175139303,15
leakage,3.153846154,1.155588428,26,3.416666667,1.164500153,12,2.928571429,1.141138818,14
lean,1.782608696,0.902346524,23,1.692307692,0.854850414,13,1.9,0.994428926,10
leap,2.321428571,1.123933945,28,1.875,0.83452296,8,2.5,1.192079121,20
learner,2.153846154,0.96715284,26,1.666666667,0.887625365,12,2.571428571,0.851630627,14
leather,2.28125,1.224333262,32,2.470588235,1.280510009,17,2.066666667,1.162919151,15
leave,1.869565217,1.099766414,23,1.8,1.316561177,10,1.909090909,0.943879807,11
lecture,1.743589744,0.938025606,39,1.647058824,0.931475742,17,1.818181818,0.957992128,22
ledge,2.076923077,0.956545742,39,1.75,0.930949336,16,2.304347826,0.926124997,23
ledger,2.096774194,1.011758822,31,1.888888889,0.78173596,9,2.181818182,1.097024705,22
leech,2.470588235,1.18667588,34,2.125,1.204159458,16,2.777777778,1.114374293,18
leg,2.384615385,0.962873567,39,2.5,0.940539943,14,2.32,0.988264472,25
legion,2.073170732,1.009708966,41,2.285714286,0.913873533,14,1.962962963,1.055443089,27
leisure,2.619047619,1.167703206,42,2.3,1.218281793,20,2.857142857,1.062342425,21
lemon,2.416666667,1.204159458,36,2.578947368,1.216360211,19,2.235294118,1.200490096,17
length,1.916666667,1.204159458,36,2.117647059,1.166316474,17,1.736842105,1.240165995,19
lens,2.058823529,0.919195184,34,2,0.845154255,15,2.105263158,0.994134847,19
leopard,2.129032258,1.175923339,31,2.230769231,1.423250163,13,2.117647059,0.992619825,17
leper,2.12195122,1.187331503,41,1.8,1.151657844,20,2.428571429,1.164964745,21
lesbian,2.333333333,1.14354375,27,2.571428571,1.157868447,14,2.076923077,1.11516355,13
lesion,2,1.100963765,34,1.583333333,0.99620492,12,2.227272727,1.109775532,22
lesson,2.074074074,0.997146927,27,1.875,0.991031209,8,2.157894737,1.014514547,19
let,2.052631579,1.184297452,38,2.266666667,1.437590577,15,1.913043478,0.996039588,23
letter,2.315789474,0.961565816,38,2.357142857,1.008208072,14,2.291666667,0.954584666,24
lettuce,2.4375,1.303126355,48,2.35,1.348488433,20,2.5,1.290994449,28
levee,2.517241379,1.021927089,29,2.363636364,1.026910636,11,2.611111111,1.036900863,18
level,1.862068966,1.092969021,29,2.066666667,1.222799287,15,1.642857143,0.928782732,14
lever,2.46875,1.077163988,32,2.181818182,1.07871978,11,2.619047619,1.07126983,21
liar,1.733333333,1.080655399,30,2.5,1.309307341,8,1.454545455,0.857864054,22
libel,1.821428571,1.055973184,28,2.1,1.286683938,10,1.666666667,0.907485213,18
lick,2.909090909,1.283638295,33,3.230769231,1.23516842,13,2.7,1.301820588,20
lid,2.266666667,1.112106834,30,2.714285714,0.994490316,14,1.875,1.087811258,16
lie,1.757575758,0.969223369,33,2.058823529,1.088036548,17,1.4375,0.727438428,16
liege,2.678571429,1.156417566,28,2.2,0.918936583,10,2.944444444,1.211329956,18
life,2.419354839,1.088552358,31,2.363636364,1.361816968,11,2.45,0.944513241,20
lifeboat,2.108108108,0.936417042,37,2.214285714,0.801783726,14,2.043478261,1.021507837,23
lifeguard,2.16,1.143095213,25,2.272727273,1.348399725,11,2.071428571,0.997248963,14
lifeline,2.166666667,0.985527457,30,1.666666667,0.866025404,9,2.380952381,0.973457265,21
lifer,2.344827586,1.14254922,29,2.666666667,1,9,2.2,1.196486083,20
lifetime,2.333333333,0.956182887,36,1.909090909,1.044465936,11,2.52,0.871779789,25
lift,2.46875,1.106706098,32,2.466666667,0.990430402,15,2.5625,1.209338662,16
lightbulb,1.975,1.097491312,40,1.944444444,1.055641551,18,2,1.154700538,22
lighthouse,2.175,1.129726538,40,1.733333333,0.961150105,15,2.44,1.15758369,25
lighting,2.2,1.106132638,35,1.928571429,0.916874768,14,2.380952381,1.203170415,21
lightness,2.133333333,1.136641554,30,2.1875,1.276388133,16,2.071428571,0.997248963,14
lightweight,2.807692308,1.265519048,26,2.769230769,1.165750556,13,2.846153846,1.405118847,13
like,2.431818182,1.043200069,44,2.684210526,1.002919714,19,2.24,1.051982256,25
likeness,2,1.240347346,27,2.214285714,1.42389344,14,1.769230769,1.012739367,13
lilac,2.2,1.126483696,30,1.733333333,0.883715102,15,2.666666667,1.175139303,15
lily,2.594594595,1.165701016,37,3.25,1.288057029,12,2.291666667,0.999093792,24
limb,2.133333333,1.07425462,30,2.166666667,1.193416283,12,2.111111111,1.022619985,18
limber,2.833333333,1.116748153,30,2.666666667,1.370688834,12,2.944444444,0.937595311,18
limbo,2.837209302,1.378926991,43,3.095238095,1.609495632,21,2.590909091,1.098010795,22
lime,2.296296296,1.030862776,27,2.1,1.100504935,10,2.411764706,1.003669737,17
limelight,2.40625,1.187553055,32,2.588235294,1.371988681,17,2.2,0.941123948,15
limestone,2,1.154700538,25,1.875,1.457737974,8,2.058823529,1.028991511,17
limey,2.84,1.404753834,25,2.545454545,1.213559752,11,3.071428571,1.542439911,14
limit,2.133333333,1.07425462,30,2.214285714,1.251372872,14,2.0625,0.928708781,16
limp,2.8,1.471569652,30,2.636363636,1.501514387,11,2.894736842,1.486783883,19
line,2.055555556,1.040451672,36,2.2,1.146423008,15,1.952380952,0.973457265,21
linen,1.970588235,0.968763477,34,2.1875,0.981070844,16,1.777777778,0.942809042,18
liner,2,1.206045378,34,2,1.322875656,17,2,1.118033989,17
lingo,2.975609756,1.150821552,41,3.1,1.165287405,20,2.857142857,1.152636729,21
linguist,2.459459459,1.366150199,37,2.333333333,1.66969422,12,2.52,1.228820573,25
link,2.444444444,1.181873681,36,2.3125,1.352466882,16,2.55,1.050062655,20
lint,2.323529412,1.173458711,34,1.75,1.164964745,8,2.5,1.140175425,26
lion,2.108108108,0.936417042,37,2,0.953462589,12,2.16,0.943398113,25
lip,2.12,1.166190379,25,2.166666667,1.337115847,12,2.076923077,1.037749043,13
lipstick,2.484848485,1.253026639,33,3,1.300887271,14,2.105263158,1.100239208,19
liqueur,2.578947368,1.030129327,38,2.444444444,1.041617646,18,2.7,1.031095483,20
liquid,2.3125,1.255632471,32,2.307692308,1.315587029,13,2.388888889,1.243282604,18
liquor,2.707317073,1.209212604,41,2.875,1.087811258,16,2.6,1.290994449,25
lira,2.512820513,1.315330554,39,2.235294118,1.480262298,17,2.727272727,1.162174406,22
lisp,2.785714286,1.031257516,28,2.75,0.965307299,12,2.8125,1.108677891,16
list,2.323529412,1.22401694,34,2.230769231,1.300887271,13,2.380952381,1.203170415,21
listen,2.379310345,1.115276811,29,1.857142857,1.027105182,14,2.866666667,0.990430402,15
lithium,2.333333333,1.414213562,27,2.555555556,1.424000624,9,2.222222222,1.437135859,18
litter,2.085714286,1.067471685,35,2.333333333,1.23091491,12,2,0.975900073,22
