word,mean_ALL,sd_ALL,n_ALL,mean_M,sd_M,n_M,mean_F,sd_F,n_F
bellboy,2.75,1.135923668,32,2.772727273,1.151885336,22,2.7,1.159501809,10
bellhop,2.64,1.25779204,50,2.545454545,1.262170192,22,2.714285714,1.272418021,28
bellow,3.096774194,1.274227575,31,2.636363636,1.501514387,11,3.35,1.089422831,20
belly,3.379310345,1.115276811,29,3.2,1.032795559,10,3.473684211,1.172292202,19
beloved,2.578947368,1.121298329,19,2.545454545,1.035725481,11,2.625,1.302470181,8
belt,2.227272727,0.985089687,44,2.571428571,1.089409559,14,2.066666667,0.907187139,30
bench,2.12195122,1.053449618,41,2.052631579,1.17727011,19,2.181818182,0.957992128,22
bend,2.194444444,1.11661336,36,2.166666667,1.294785924,18,2.222222222,0.942809042,18
bereaved,1.710526316,0.983867019,38,2,1.069044968,15,1.52173913,0.897955517,23
beret,2.59375,1.103056604,32,2.3125,1.078192933,16,2.875,1.087811258,16
berth,2.324324324,1.156000145,37,1.941176471,1.088036548,17,2.65,1.136708082,20
bet,1.863636364,1.037187339,22,1.545454545,0.934198733,11,2.181818182,1.07871978,11
beta,2.689655172,1.137147065,29,2.714285714,1.112697281,7,2.681818182,1.170525468,22
bias,1.941176471,1.042757895,34,2,1.08012345,13,1.904761905,1.04425868,21
bible,1.862068966,0.953345161,29,1.9,0.994428926,10,1.842105263,0.958190302,19
biceps,2.041666667,0.999093792,24,2,0.9258201,8,2.0625,1.062622542,16
bid,2.037037037,0.897924165,27,1.846153846,0.800640769,13,2.214285714,0.974961256,14
bidder,2.342857143,1.282067658,35,2.153846154,1.28102523,13,2.454545455,1.299350487,22
bigot,1.882352941,1.06642154,34,2,1.069044968,15,1.789473684,1.08417646,19
bike,2.054054054,1.104182602,37,1.833333333,0.985184366,18,2.263157895,1.194529441,19
bile,2.257142857,1.268228434,35,2.5,1.087114613,12,2.130434783,1.358620551,23
bilge,2.571428571,1.069044968,28,2.272727273,0.904534034,11,2.764705882,1.147247345,17
bill,2.085714286,1.094677728,35,1.928571429,1.206666464,14,2.19047619,1.030487633,21
billboard,2.317073171,1.059221988,41,2.277777778,1.074055292,18,2.347826087,1.070628348,23
billiard,2.75,1.224744871,24,2.333333333,1.118033989,9,3,1.253566341,15
billion,2.852941176,1.328757746,34,2.722222222,1.40610248,18,3,1.264911064,16
bin,1.84,0.986576572,25,1.909090909,1.044465936,11,1.785714286,0.974961256,14
bind,1.875,1.184578324,32,2.25,1.544785952,12,1.65,0.87509398,20
binder,2.204545455,1.111871363,44,2.421052632,1.169795304,19,2.04,1.059874206,25
binding,1.885714286,0.900046684,35,1.555555556,0.783823376,18,2.235294118,0.903424856,17
binge,2.085714286,1.245496088,35,2,1.290994449,19,2.1875,1.223042654,16
bingo,3.25,1.377732974,28,3.153846154,1.573009528,13,3.333333333,1.2344268,15
birch,2.035714286,0.999338405,28,1.875,0.885061203,16,2.363636364,1.120064933,11
bird,2.689655172,1.105294023,29,2.625,1.060660172,8,2.714285714,1.146423008,21
birdie,3.25,1.08012345,40,2.933333333,1.162919151,15,3.44,1.003327796,25
birth,2.236842105,1.149246769,38,2.058823529,1.29762226,17,2.4,1.046296728,20
birthday,2.666666667,1.403928236,24,2.166666667,1.834847859,6,2.833333333,1.248528546,18
birthmark,2.419354839,1.232184877,31,3.6,1.341640786,5,2.192307692,1.096147098,26
birthplace,1.805555556,1.037013416,36,1.285714286,0.611249846,14,2.136363636,1.12527053,22
birthright,2.333333333,1.307725096,24,1.833333333,1.169045194,6,2.5,1.339446769,18
biscuit,2.72,1.208304597,25,3.125,0.640869944,8,2.625,1.360147051,16
bishop,2.209302326,1.206295777,43,2.769230769,1.48064435,13,1.966666667,0.999425122,30
bisque,2.9,1.213430588,30,3.3125,1.138346754,16,2.428571429,1.157868447,14
bistro,2.333333333,1.239448218,24,2.333333333,1.414213562,9,2.333333333,1.175139303,15
bitch,2.5,1.452966315,28,3,1.414213562,11,2.176470588,1.42457424,17
bite,2.243243243,0.862985947,37,2.133333333,0.915475416,15,2.318181818,0.838727133,22
bitter,2.179487179,1.274688711,39,2.333333333,1.175139303,15,2.083333333,1.348643978,24
biz,2.533333333,1.120064933,45,2.571428571,1.247855303,21,2.5,1.021507837,24
blackbird,2.302325581,1.124084468,43,2.304347826,1.105144277,23,2.3,1.174285897,20
blackboard,2.04,0.789514619,25,2.4,0.516397779,10,1.8,0.861891607,15
blackjack,2.894736842,1.247472551,38,3.153846154,1.573009528,13,2.76,1.051982256,25
blacklist,1.821428571,1.123933945,28,1.75,1.164964745,8,1.85,1.136708082,20
blackmail,2.322580645,1.165821506,31,2,1.095445115,16,2.666666667,1.175139303,15
blackness,2.142857143,1.116864701,42,2.285714286,1.266647388,14,2.071428571,1.051579814,28
blacksmith,2.489361702,1.100836449,47,2.666666667,1.197219,21,2.346153846,1.017538508,26
bladder,2.64516129,1.2529535,31,2.583333333,1.240112409,12,2.684210526,1.293257368,19
blade,2.225806452,1.309190015,31,2.076923077,1.382120259,13,2.333333333,1.283377896,18
blame,1.8,0.992277877,40,1.928571429,0.997248963,14,1.730769231,1.002305036,26
blank,2.0625,0.913606819,32,2.333333333,0.866025404,9,1.956521739,0.928256473,23
blanket,2,0.935414347,33,2.083333333,0.99620492,12,1.952380952,0.920662287,21
blare,2.302325581,1.03590043,43,2.05,0.944513241,20,2.52173913,1.081647112,23
blast,2.375,1.313699529,32,2.1875,1.223042654,16,2.5625,1.412739655,16
blazer,2.166666667,1.261726604,30,2.363636364,1.501514387,11,2.052631579,1.129094239,19
bleach,1.928571429,1.051579814,28,1.666666667,1.032795559,6,2,1.069044968,22
bleeder,2.4,1.418366915,35,1.666666667,0.984731928,12,2.782608696,1.475759334,23
bleep,2.931818182,1.283123501,44,3.066666667,1.099783528,15,2.862068966,1.381617529,29
blemish,2.068965517,1.032716061,29,2.285714286,0.825420306,14,1.928571429,1.206666464,14
blend,2.025,0.999679436,40,1.823529412,0.95100566,17,2.173913043,1.029217439,23
blessing,1.956521739,1.147260011,23,1.8,1.095445115,5,2,1.188177052,18
blight,2.090909091,1.182255164,33,2.090909091,1.300349603,11,2.090909091,1.150945405,22
blimp,3.222222222,0.974420315,45,3.227272727,1.020355595,22,3.217391304,0.951387587,23
blind,1.566666667,0.727932042,30,1.428571429,0.646206173,14,1.6875,0.793200269,16
blindfold,2.3125,1.090649407,32,2.25,0.965307299,12,2.35,1.182103388,20
blindness,1.8125,1.176037634,32,1.923076923,1.255755978,13,1.736842105,1.147078669,19
blink,2.651162791,1.172781004,43,2.55,1.276302225,20,2.739130435,1.096166515,23
blip,3.055555556,1.351072472,36,3.333333333,1.23091491,12,2.916666667,1.411649256,24
